coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Mar 15 15:36:33 +0000 2020,,,,0,1239213907853676544,WilDonnelly,1239206682980429800,46197784,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@WilDonnelly Hey don’t knock it. It was decades of selective inbreeding that enabled the current republican cult.,https://twitter.com/rrretired2008/status/1239213907853676544,Sat Jan 28 23:20:32 +0000 2017,rrretired2008,false,"December 11, 2020: Conservatives have proven themselves incompatible with the responsibilities of Citizenship and Governance",5352,97,298,1,USA,independent,rrretired2008,7490,,,false
,Wed Mar 11 18:27:52 +0000 2020,,,,4,1237807468941438976,gbriddick,1237805493478924300,53175760,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@gbriddick @DrCSWilliam @BridgetSW I know those people. I call them my parents 🤷‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,https://twitter.com/jargfar/status/1237807468941438976,Thu Feb 04 17:46:14 +0000 2016,jargfar,false,"I #Resist every day because my grandkids depend on it. OKBoomer is not an insult, just ask Bill Gates.",133355,1007,883,0,S FL (for ever); VA ,Julie 🇨🇺🇺🇸,jargfar,41273,,,false
,Sun Apr 19 00:39:33 +0000 2020,,,,3,1251671746253553664,HanianEmpress,1251668952993927200,1096797880583667700,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@HanianEmpress @realDonaldTrump They aren’t  counting all the nursing home patients only the ones that are publicized. They aren’t testing a lot of people with symptoms unles they are vent ready here.,https://twitter.com/PattyR1948/status/1251671746253553664,Tue Aug 11 17:29:18 +0000 2015,PattyR1948,false,#Resister #ImpeachTrump #Mygrandkidsfuture #Ihatetrump #takeourcountryback#Bluewave2020#NoDMs!,25642,1759,1990,1,"Ohio, USA",Patty Rice,PattyR1948,18048,,,false
,Sun Apr 19 01:12:46 +0000 2020,,,,3,1251680104448528384,HanianEmpress,1251668952993927200,1096797880583667700,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@HanianEmpress @CheyenneDancer @realDonaldTrump In 12 months, ~50 million people get the flu and ~50K died, roughly .1%

In 3 months, 740K people have tested positive for covid-19 and 39K have died roughly 5%.

Math is hard.",https://twitter.com/MarkThevenot/status/1251680104448528384,Sat Jun 07 23:36:06 +0000 2014,MarkThevenot,false,My opinions are my own. They are not bought or coerced and not representative of anyone I may be affiliated with. #FBR,36439,2990,3911,2,,Mark Thevenot 🌊🇺🇸,MarkThevenot,15173,,,false
,Fri Apr 10 13:41:48 +0000 2020,,https://twitter.com/Sunita827/status/1248314003375493123/photo/1,,0,1248607112407769088,,,,es,,false,535,1248314003375493123,Suniiiiiita,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Sunita827: Estamos todos de acuerdo que carbonara &gt;&gt;&gt;&gt; boloñesa vd??? https://t.co/GRxfOF8vbs,https://twitter.com/miguelmartzzz/status/1248607112407769088,Sun Apr 07 20:27:04 +0000 2019,miguelmartzzz,false,"Explicit,
Alc🇪🇦",8625,309,252,1,,MM°,miguelmartzzz,3404,,,false
,Sun Apr 19 01:23:33 +0000 2020,,,,2,1251682818779906048,HanianEmpress,1251668952993927200,1096797880583667700,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HanianEmpress @62WalterP @realDonaldTrump Donald Trump is a NO NOTHING President.. His behaviour and bad attitude towards the truth will come back to bite him on the ass election time.. Covid-19 is a real killer. not the flu..,https://twitter.com/Marose111/status/1251682818779906048,Tue Jul 20 11:46:50 +0000 2010,Marose111,false,"Honesty is always the BEST policy. I speak my mind, & I love Sports...",12799,488,1441,11,,M. Smile : ),Marose111,98434,,,false
,Tue Apr 07 09:37:17 +0000 2020,,,,0,1247458413627531264,aboabdallasalah,1247454817263456300,1141367757897908200,ar,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@altayar320 @ELDALY_99 طبعا يباشا💜,https://twitter.com/abdelkareem2222/status/1247458413627531264,Sat Feb 01 16:55:42 +0000 2020,abdelkareem2222,false,"‏‏‏‏‏‏‏‏‏‏ثق بالله أنه قادر يغير حياتك 180درجه إلى الافضل🌸
الاهلي ⁦❤️⁩💪
بيولوجيست⁦👨🏻‍⚕️⁩
كايروكي & عمرو دياب 😎
يعم تعالا اشب شاي 😂",2533,223,280,0,"القاهرة, مصر",Abkreem💉👮🏻‍♂️,abdelkareem2222,1049,,,false
,Sun Apr 19 13:57:03 +0000 2020,,,,1,1251872442806685696,HanianEmpress,1251668952993927200,1096797880583667700,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@HanianEmpress @realDonaldTrump That was all trump!! Making people think, nothing more than a common flu!!",https://twitter.com/southborn12/status/1251872442806685696,Thu Mar 20 20:19:30 +0000 2014,southborn12,false,FED UP! VOTE BLUE! Georgia is now officially blue!!,22383,1525,1440,0,,southern soul,southborn12,23986,,,false
,Sun Mar 15 15:15:27 +0000 2020,,,,0,1239208596593717248,WilDonnelly,1239206682980429800,46197784,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@WilDonnelly Wow...are they in for a shocker,https://twitter.com/nigel_macd/status/1239208596593717248,Wed Apr 24 03:16:06 +0000 2013,nigel_macd,false,We are all in this boat together so let’s help each other to make this brief trip of life as joyful as possible. INFJ,70996,326,239,3,,Shannon MacDonald,nigel_macd,6520,,,false
,Tue Apr 07 09:23:00 +0000 2020,,,,0,1247454821013168128,ClarkeMicah,1247448470283313200,405605548,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@ClarkeMicah @Juliajoy Copied from the ONS site today: ""In Week 13, 18.8% of all deaths mentioned “Influenza or Pneumonia”, COVID-19, or both. In comparison, for the five-year average, 19.6% of deaths mentioned “Influenza and Pneumonia”.""  So less deaths from all 3 combined so far this year.",https://twitter.com/sass_byname/status/1247454821013168128,Mon Apr 06 19:19:54 +0000 2020,sass_byname,false,Fiend without a face.,25398,454,321,0,,Sarah,sass_byname,4296,,,false
