coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Apr 10 13:39:32 +0000 2020,,,http://dlvr.it/RTXQLc,53,1248606541793488896,,,,en,,false,32,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu https://t.co/FaxWBEfXs8,https://twitter.com/realTuckFrumper/status/1248606541793488896,Wed Jul 08 22:59:13 +0000 2009,realTuckFrumper,false,@hillreporter @RawStory @AlterNet https://t.co/Vy9rzsZD6r @politicususa @DeadStateTweets @DemCastUSA @MeidasTouch @teampelosi,76026,142312,97024,117,Witness Protection,#TuckFrump,realTuckFrumper,287174,,http://comingverysoon.com,false
,Sun Mar 15 15:07:51 +0000 2020,,,https://www.nbcnews.com/politics/meet-the-press/sixty-percent-believe-worst-yet-come-u-s-coronavirus-pandemic-n1159106,93,1239206682980429824,,,,en,,false,32,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Trump said COVID-19 is just like the flu &amp; contained

Scientist Dr. Fauci says it will get much worse

Only 40% of Republicans think the worst is yet to come
74% of Republicans think their day-to-day lives won't change in a major way

Cult before science!
https://t.co/IedwwQuub6",https://twitter.com/WilDonnelly/status/1239206682980429824,Wed Jun 10 19:15:30 +0000 2009,WilDonnelly,false,"I didn't vote for a sexual predator, fraudster & conman who stole from his charity, or a draft-dodger who attacked POWs and Gold Star families. How about you?",43687,123429,41346,533,"PA, USA",Facts Do Matter,WilDonnelly,44122,,http://factsdomatter.com,false
,Tue Mar 24 15:34:20 +0000 2020,,,,0,1242474839966765056,DCare247,1242474835512447000,1065961267440033800,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2. Only older adults and young people are at risk

COVID-19, like other coronaviruses, can infect people of any age. However, older adults or individuals with preexisting health conditions, such as diabetes or asthma, are more likely to become severely ill.",https://twitter.com/DCare247/status/1242474839966765056,Fri Nov 23 13:32:25 +0000 2018,DCare247,false,"Talk to a doctor via text or live video consultation on DoctorCare247 Anywhere, Anytime at your convenience. 
#Telehealth #Telemedicine #VirtualHealth",438,2467,573,1,"Lagos, Nigeria",DoctorCare247,DCare247,1332,,https://myurls.co/doctorcare247,false
,Fri Apr 10 13:36:31 +0000 2020,,,https://hillreporter.com/nearly-3-in-5-right-wing-news-viewers-still-believe-covid-19-is-just-like-the-flu-63944,35,1248605782813392896,,,,en,,false,16,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu
https://t.co/8IPfbi4i5q",https://twitter.com/HillReporter/status/1248605782813392896,Wed Oct 15 19:43:52 +0000 2008,HillReporter,false,"Covering politics, world news, and more!",6247,65667,40773,539,"SEA, PDX, CLT, NYC",HillReporter.com,HillReporter,14963,,http://HillReporter.com,false
,Fri Mar 13 14:33:45 +0000 2020,,https://twitter.com/Snowflake_M/status/1238463665805852673/video/1,,2,1238473326324060160,__gaciria,1238471310516387800,1907306828,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@__gaciria And this is the Moroccan Prime Minister saying that the Covid_19 is just like the flu 🤦🏻‍♀️
 https://t.co/pQJm1Wfqhs",https://twitter.com/Snowflake_M/status/1238473326324060160,Mon Sep 19 13:18:36 +0000 2011,Snowflake_M,false,"- 𝘼𝙨 𝙡𝙤𝙣𝙜 𝙖𝙨 𝙞𝙩'𝙨 𝙣𝙤𝙩 𝙖 𝘾𝙧𝙖𝙨𝙝 𝙗𝙪𝙩 𝙖 𝙇𝙖𝙣𝙙𝙞𝙣𝙜, 𝙩𝙝𝙚𝙧𝙚 𝙬𝙤𝙪𝙡𝙙 𝙗𝙚 𝙣𝙤 𝙧𝙚𝙜𝙧𝙚t!
 𝒥𝐻❁𝒫𝐸

h^^py #BTSARMY",149224,2322,443,22,"Aîn Chock, Royaume du Maroc",YA𝑅A⁷,Snowflake_M,44693,,,false
,Wed Mar 04 18:13:47 +0000 2020,,,,13,1235267210974613504,,,,en,,,9,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","My grandmother watches Fox so she thinks the CoVID-19 is “just like the flu.” 

It’s 34x more deadly, 148x more deadly to people her age. 

Trump is waging a disinformation campaign instead of protecting the US. It’s infuriating.",https://twitter.com/Marmas110189/status/1235267210974613504,Sat Mar 17 03:15:52 +0000 2018,Marmas110189,false,"☀️, 🌊, repeat.

America is, inherently, anti-fascist. That’s why it exists. The the term “Anti-fa,” weaponized, normalizes fascism. 
🇺🇸 ≠ fascism.",141377,6528,5095,4,"Del Mar, California ",infinite facepalm,Marmas110189,56204,,,false
,Wed Mar 18 11:23:28 +0000 2020,,,https://twitter.com/jeremycyoung/status/1239975682643357696,24,1240237378041778176,,,,en,,false,8,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","For those who think COVID-19 is “just like the flu”, “flu kills more”, “the panic is more dangerous”, “herd immunity is best” take a stroll down this thread. 

You’ll also note both Prez Trump &amp; Fox News have about-turned on those talking points. https://t.co/4MNzhXzYhs",https://twitter.com/Gary22k/status/1240237378041778176,Fri Apr 04 02:32:35 +0000 2014,Gary22k,false,"Opstoker, optimist and chief bottle-washer at AIM (Abantu Integrity Movement). Views are my own but totally biased towards the best little city in the world",68456,3066,5001,24,"Gqeberha/PE, South Africa",Gary M Koekemoer,Gary22k,53591,,,false
,Wed Mar 11 00:23:08 +0000 2020,,,,21,1237534484406263808,,,,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",why are schools closing for a virus I literally do not get it...COVID-19 is just like the flu why are we flipping tables and setting fires for a virus that’s gonna spread whether we can control it or not??,https://twitter.com/swiftlyamanda13/status/1237534484406263808,Tue Jun 26 03:58:00 +0000 2012,swiftlyamanda13,false,"22 | Taylor Swift is my one and only, my lifeline | certified nursing assistant | future nurse🩺",90732,5979,754,86,chicago,amanda,swiftlyamanda13,48167,,,false
,Tue Apr 07 18:26:21 +0000 2020,,,https://medium.com/@tomaspueyo/coronavirus-act-today-or-people-will-die-f4d3d9cd99ca,0,1247591558809075712,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SnidePrince @ScottAdamsSays I would suggest this article to review the assumptions that COVID-19 is just like the flu.

https://t.co/q77THPLOqa",https://twitter.com/fcouto/status/1247591558809075712,Tue Apr 21 20:39:48 +0000 2009,fcouto,false,Enthusiast about using data to solve business problems. Consultant @Microsoft. Tweets are my own. 🇧🇷🇨🇦,3890,272,378,31,"Victoria, BC",Nate Couto,fcouto,2652,,,false
,Thu Apr 30 12:49:42 +0000 2020,,,https://en.wikipedia.org/wiki/Prevention_paradox,2,1255841759877349376,hilltothesouth,1255839914907693000,1004040371825926100,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@hilltothesouth @Imamofpeace That wasn't my point. This was -

https://t.co/HcIsJsTB5T

And if you still think covid-19 is just like the flu, peace out.",https://twitter.com/mendelkalmenson/status/1255841759877349376,Fri Dec 21 20:06:54 +0000 2012,mendelkalmenson,false,"Student of the Sciences. Love my family and lasagna, not necessarily in that order.
Academic account found here @MMKalmenson.",608,143,230,0,r(t),Mendel Kalmenson,mendelkalmenson,3734,,,false
