coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Apr 15 15:15:09 +0000 2020,,,,0,1250442543763841024,DanWantsFreedom,1249536744686583800,33946024,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@DanWantsFreedom @MAGA_NOW_ Good grief! Both needs to be in cells.....,https://twitter.com/Heather27968751/status/1250442543763841024,Mon Dec 25 13:11:39 +0000 2017,Heather27968751,false,There is only one Truth.,58738,625,634,1,🇺🇸🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇱,MartiniWahine,Heather27968751,25636,,,false
,Mon Apr 13 18:49:43 +0000 2020,,,,0,1249771765028384768,DanWantsFreedom,1249536744686583800,33946024,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@DanWantsFreedom @cuban_manny Probably on the orders of Soros!,https://twitter.com/BanRomulanbirds/status/1249771765028384768,Thu Jul 02 00:40:59 +0000 2015,BanRomulanbirds,false,"I am a 20th century artifact. I micturate on pc, and flatulate in their direction! MAGA, KAG, NRA, Trumpist, Nakbas to all jihadists!",33278,2379,0,58,Kaleefornia 😎,Deplorable Lex Lothar 214782 Dorsey Limited,BanRomulanbirds,250190,,,false
,Mon Apr 13 20:57:05 +0000 2020,,,,0,1249803818373529600,VABVOX,1249803379754369000,138168339,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@VABVOX why, i can't ask this too much, why is Rick  Santorum still getting airtime?!?!",https://twitter.com/CityServiceWonk/status/1249803818373529600,Thu May 29 17:29:10 +0000 2014,CityServiceWonk,false,"#resist. tweets mine but we might agree, right?. 🐶 lover. 🐻🏳️‍🌈♓️🍕",97257,599,1024,1,San Francisco,"Rick (most people happy I""m socially distancing)",CityServiceWonk,8883,,,false
,Mon Apr 13 12:16:33 +0000 2020,governorWhitmer,,,0,1249672824072986624,DanWantsFreedom,1249536744686583800,33946024,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@DanWantsFreedom @cindyseestruth When this is over, can I refuse service to ANYONE?  If I own a restaurant in Michigan, can I refuse service to #governorWhitmer ?  Her vocal supporters?",https://twitter.com/Nate1954/status/1249672824072986624,Wed May 13 14:50:02 +0000 2009,Nate1954,false,"Retired & currently, 'in the mean time.'  My Irish Grandfather, a USNavy WW1 Vet, said, ""Nothing is more important than FREEDOM."" NO SOCIALISM! NO FREE RIDES!",44473,2236,2982,1,pnw,Na Da #NAVY #ProLife #BOYCOTTCHINA #MAGA #KAG,Nate1954,41733,,,false
,Mon Apr 13 17:48:06 +0000 2020,,,,0,1249756261920333824,chrisdabear,1249755471080239000,48315004,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@chrisdabear @thedailybeast ""The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.""  
Tenth Amendment to the United States Constitution",https://twitter.com/carol_sundahl/status/1249756261920333824,Fri Feb 10 14:31:41 +0000 2017,carol_sundahl,false,,323927,537,58,4,"Seattle, WA",Carol Sundahl,carol_sundahl,28338,,,false
,Mon Apr 13 17:49:00 +0000 2020,,,,1,1249756489046208512,realTuckFrumper,1249754108107485200,55060090,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@realTuckFrumper That clown is part of the reason I don't watch CNN anymore.,https://twitter.com/Juebees99/status/1249756489046208512,Sat Jul 30 03:37:44 +0000 2016,Juebees99,false,🐶🐱 💖 ­• 🏒 Ottawa Senators • 🇨🇦 #TeamCanada • Music 🎼 • Beach 🌴 • Travel 🛫🗺🛬 • Politics 🙈🙉🙊,133922,2729,3375,0,,Juebees,Juebees99,40659,,,false
,Mon Apr 13 18:35:47 +0000 2020,,,,0,1249768261161562112,IamLita,1249766660916932600,35362949,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@IamLita @thedailybeast “Admit”. Funny,https://twitter.com/DailyDoodle1962/status/1249768261161562112,Fri Apr 21 18:08:31 +0000 2017,DailyDoodle1962,false,i changed my profile photo to a self portrait and will keep changing until i get it right. This may take some time...,24985,124,314,1,"Austin, TX",WhatWouldSnidelyWhiplashDo?,DailyDoodle1962,18263,,,false
,Tue Apr 14 11:54:38 +0000 2020,,,,0,1250029693455290368,DanWantsFreedom,1249536744686583800,33946024,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@DanWantsFreedom @E__Strobel Can I buy an ISIS flag though?,https://twitter.com/d0c_z1ck/status/1250029693455290368,Sat Jul 30 18:41:17 +0000 2016,d0c_z1ck,false,"Everyday ordinary hashtag American by birth, Yinzer by the grace of God (sole-survivor from @perpenpicular) I share #WhatILearnedToday & libertarian musings",229,669,1144,3,Yinzburgh,PLANT-BASED Z0CK,d0c_z1ck,36261,,,false
,Mon Apr 13 17:54:53 +0000 2020,,,,2,1249757968238891008,chrisdabear,1249755471080239000,48315004,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@chrisdabear @thedailybeast Hey @realdonaldtrump.....Rick Santorum (one of your sycophants) just told CNN that YOU CANNOT FORCE GOVERNORS TO RE-OPEN THE STATES!,https://twitter.com/macpj/status/1249757968238891008,Fri Oct 17 19:06:30 +0000 2008,macpj,false,"RESIST ACTIVELY & FORCEFULLY! #FBR
#VOTEBLUENOMATTERWHO2020  NO DM's!!!!!",7422,2693,3193,0,Michigan,MAC 🍑,macpj,26311,,,false
,Mon Apr 13 04:34:32 +0000 2020,,https://twitter.com/famima_reply/status/1249556554073939968/video/1,https://www.family.co.jp/campaign/spot/2004_pokechiki_twcp.html?utm_source=twitter&utm_medium=promotweet&utm_campaign=20200408_pokechiki_hazure_reply&ts=20200413133432,0,1249556554073939968,0____0zzz,1249556550483464200,331681244,ja,,false,0,,,"<a href=""http://bc.uniquevision.co.jp/"" rel=""nofollow"">BelugaCampaignSEA</a>","@0____0zzz ご応募ありがとうございました！ 
抽選結果は動画をチェック！

今なら店頭でポケチキ１個増量中！
https://t.co/264MUlnwj2 https://t.co/HJCasXJXdF",https://twitter.com/famima_reply/status/1249556554073939968,Thu Mar 05 02:27:28 +0000 2020,famima_reply,false,"コンビニエンスストア　ファミリーマート公式ツイッターキャンペーン返信用アカウントです。
こちらのアカウントではお問合せ等返信の対応をしておりません。
☆店舗、商品に関するお問い合わせは下記の窓口へお願いします。https://t.co/e0oFP4LwTW",0,76154,0,115,,ファミリーマート公式返信用アカウント,famima_reply,45233771,,http://www.family.co.jp/index.html,true
