coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Apr 14 21:28:42 +0000 2020,,,https://www.theepochtimes.com/programming-alert-exclusive-documentary-on-origin-of-the-ccp-virus-premieres_3302336.html,1,1250174164268396544,,,,en,,false,1,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Programming Alert: Exclusive Documentary on Origin of the CCP Virus Premieres https://t.co/c4ljH5F7gR via @epochtimes,https://twitter.com/TKennethClemen1/status/1250174164268396544,Tue Sep 18 04:47:02 +0000 2018,TKennethClemen1,false,Never sneeze during a bowel movement. Whatever became of the Wienie mobile?,7077,1058,2089,0, Helix NGC 7293 Porking Beans ,Team Clemens. Carpe Diem Quo de Pilis!,TKennethClemen1,15058,,,false
,Mon Apr 13 20:10:29 +0000 2020,,,https://www.thedailybeast.com/rick-santorum-admits-trump-cant-force-governors-to-reopen-states?source=twitter&via=desktop,0,1249792092030853120,,,,en,,false,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Rick Santorum Admits Trump Can’t Force Governors to Reopen States https://t.co/ZMPSu5V59S via @thedailybeast,https://twitter.com/heyjudenyc/status/1249792092030853120,Fri Jan 13 01:58:13 +0000 2012,heyjudenyc,false,,1289,74,15,4,new york,judy gitlin,heyjudenyc,66841,,,false
,Mon Apr 13 18:29:26 +0000 2020,,,,0,1249766660916932608,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",THE AUDACITY PLAYING TEENAGE DIRTBAG,https://twitter.com/stylesfling/status/1249766660916932608,Wed Mar 16 08:30:42 +0000 2011,stylesfling,false,asian aka the forgotten one.,3523,1054,237,8,,🍒🍓✨,stylesfling,71568,,https://twitter.com/niallofficial/status/7846373124,false
,Mon Apr 13 17:34:38 +0000 2020,,https://twitter.com/LanksterSteve/status/1249730852038164480/photo/1,,0,1249752872889331712,,,,und,,true,10,1249730852038164480,LanksterSteve,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LanksterSteve: https://t.co/B5GKLjWQ5J,https://twitter.com/Nottsnaturist/status/1249752872889331712,Tue Aug 21 16:26:06 +0000 2018,Nottsnaturist,false,"Genuine  naturist. Was Nottsnaturist on Tumblr with over 26k.  Love the flaccid male form. 

No Porn, No Erections Here.

A naturist, a touch of exhibitionism",11374,7357,2089,30,"East Midlands, England",Notts Naturist,Nottsnaturist,12230,,http://www.onlyfans.com/nottsnaturist,false
,Mon Apr 13 17:34:38 +0000 2020,,https://twitter.com/LanksterSteve/status/1249730852038164480/photo/1,,0,1249752872889331712,,,,und,,true,10,1249730852038164480,LanksterSteve,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LanksterSteve: https://t.co/B5GKLjWQ5J,https://twitter.com/Nottsnaturist/status/1249752872889331712,Tue Aug 21 16:26:06 +0000 2018,Nottsnaturist,false,"Genuine  naturist. Was Nottsnaturist on Tumblr with over 26k.  Love the flaccid male form. 

No Porn, No Erections Here.

A naturist, a touch of exhibitionism",11374,7357,2089,30,"East Midlands, England",Notts Naturist,Nottsnaturist,12230,,http://www.onlyfans.com/nottsnaturist,false
,Sun Apr 12 18:08:05 +0000 2020,,,https://www.thegatewaypundit.com/2020/04/michigan-governor-gretchen-whitmer-bans-buying-us-flags-lockdown/?utm_source=Email&utm_medium=the-gateway-pundit&utm_campaign=dailyam&utm_content=weekend,15,1249398900521226240,,,,en,,false,30,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","And There It Is… Michigan Governor Gretchen Whitmer Bans Buying US Flags During Lockdown
https://t.co/GtwoEBm2S5",https://twitter.com/Dslayer298/status/1249398900521226240,Sat Nov 21 06:48:26 +0000 2015,Dslayer298,false,"Born Again Christian-PRO LIFE-Christian Zionist. 
LOVE ISRAEL. LOVE #PresidentTrump
#MAGA #KAG Concealed Carrier. 
I FOLLOW BACK All #MAGA PATRIOTS",48858,7500,7786,3,,Dslayer298,Dslayer298,65415,,,false
,Sun Apr 12 21:11:53 +0000 2020,,,https://www.thegatewaypundit.com/2020/04/michigan-governor-gretchen-whitmer-bans-buying-us-flags-lockdown/,4,1249445156727803904,,,,en,,false,8,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",And There It Is... Michigan Governor Gretchen Whitmer Bans Buying US Flags During Lockdown https://t.co/vaPyOuQu4L,https://twitter.com/Vader0577/status/1249445156727803904,Mon Feb 16 18:13:19 +0000 2015,Vader0577,false,☧ 🇺🇸 NO LISTS / NO TRAINS,37625,581,1066,3,United States,Rob,Vader0577,25461,,,false
,Sun Apr 12 20:12:07 +0000 2020,,,https://www.thegatewaypundit.com/2020/04/michigan-governor-gretchen-whitmer-bans-buying-us-flags-lockdown/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons,6,1249430114141712384,,,,en,,false,4,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How much more proof do you need to see that ""progressive"" leftist ""democrats"" are enemies of the United States of America?

And There It Is... Michigan Governor Gretchen Whitmer Bans Buying US Flags During Lockdown https://t.co/SWW5lb3zbL",https://twitter.com/MichaelJFell/status/1249430114141712384,Tue Oct 18 21:14:46 +0000 2011,MichaelJFell,false,"A leading voice in the L.A. area Tea Party and recognized Conservative writer, contributing to https://t.co/p9malZzHV3 and more...",148769,26042,27514,216,"Culver City, CA",Michael J. Fell,MichaelJFell,211473,,http://mjfellright.wordpress.com/,false
,Mon Apr 13 11:59:53 +0000 2020,,https://twitter.com/AudacityofYoyo/status/1248604050645495808/video/1,,0,1249668627638484992,,,,en,,false,578,1248604050645495808,AudacityofYoyo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @AudacityofYoyo: I AM SCREAMING AT JACKY 😂😂😂 https://t.co/txVp3eOVq7,https://twitter.com/iEmJay_/status/1249668627638484992,Fri Jan 15 21:45:19 +0000 2010,iEmJay_,false,#BardiGang,26716,1729,633,18,,Mj 😝,iEmJay_,155619,,,false
,Tue Apr 14 01:12:18 +0000 2020,,,https://www.thegatewaypundit.com/2020/04/michigan-governor-gretchen-whitmer-bans-buying-us-flags-lockdown/?utm_source=Twitter&utm_medium=PostBottomSharingButtons&utm_campaign=websitesharingbuttons,1,1249868046342201344,,,,en,,false,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",And There It Is... Michigan Governor Gretchen Whitmer Bans Buying US Flags During Lockdown https://t.co/qPJcTc0FV0,https://twitter.com/PatrioticGrams/status/1249868046342201344,Sun Mar 04 16:12:53 +0000 2018,PatrioticGrams,true,"Very conservative patriot, love God, family, country. America first, President Trump 2020",125702,2844,3755,1,"Kentucky, USA",pat maddin,PatrioticGrams,131801,,,false
